Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Afghanistan,Afghanistan,1961,Earths,0.00950445331807075,0.00914143754812736,0.172404945718422,0.0000169430901845645,0.0275397710968453,0.168982317488604,0.387589868260255,3A,AF
Afghanistan,Afghanistan,1962,Earths,0.00922594375380478,0.0115928878523788,0.16412168212148,0.0000167957074567513,0.0277278446723907,0.164000390245928,0.37668554435344,3A,AF
Afghanistan,Afghanistan,1963,Earths,0.00881715597114512,0.0130262771316474,0.156945549733454,0.0000167306985946466,0.0286889215300197,0.186899933257115,0.394394568321976,3A,AF
Afghanistan,Afghanistan,1964,Earths,0.00937664777764637,0.0155124766711452,0.166364223727809,0.0000165941866825462,0.031521148437141,0.18620170133369,0.408992792134112,3A,AF
Afghanistan,Afghanistan,1965,Earths,0.00990038952099868,0.0175166056614322,0.173017338206968,0.0000164794471138838,0.0329405373194064,0.195497802477845,0.428889152633763,3A,AF
Afghanistan,Afghanistan,1966,Earths,0.00911391124607287,0.0186526786595689,0.157188495157588,0.0000162753408284679,0.0349179773298367,0.18954713535779,0.409436473091685,3A,AF
Afghanistan,Afghanistan,1967,Earths,0.0101050856387237,0.0202745582920074,0.174579819500314,0.0000215008356019323,0.0356091068001304,0.188850468156612,0.429440539223391,3A,AF
Afghanistan,Afghanistan,1968,Earths,0.0103649066108873,0.020032652039862,0.172601063543976,0.0000213785633389064,0.0371745433808832,0.19277837110321,0.432972915242155,3A,AF
Afghanistan,Afghanistan,1969,Earths,0.011236110486348,0.0182786083231689,0.184074784574507,0.0000211410354736371,0.0391265447838931,0.185791181767919,0.43852837097131,3A,AF
Afghanistan,Afghanistan,1970,Earths,0.0100138165848502,0.0273823885080265,0.160688211378034,0.0000209735292702605,0.0407501520696002,0.186534616072018,0.4253901581418,3A,AF
Afghanistan,Afghanistan,1971,Earths,0.00910934436534749,0.0312407108862243,0.157042660021911,0.000025796273987965,0.0415344435157451,0.18134065206101,0.420293607124226,3A,AF
